,OIL,DXY,US2Y,US10Y,VIX
XLK,0.1111111111111111,0.16666666666666666,0.2222222222222222,0.1111111111111111,0.0
XLF,0.05555555555555555,0.1111111111111111,0.16666666666666666,0.27777777777777773,0.0
XLE,0.16666666666666666,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.0
XLV,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.05555555555555555
XLY,0.05555555555555555,0.16666666666666666,0.1111111111111111,0.16666666666666666,0.0
XLP,0.05555555555555555,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.1111111111111111
XLU,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0
XLI,0.05555555555555555,0.05555555555555555,0.16666666666666666,0.2222222222222222,0.0
XLB,0.05555555555555555,0.1111111111111111,0.16666666666666666,0.16666666666666666,0.0
XLRE,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0
XLC,0.05555555555555555,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0
