,XLK,XLF,XLE,XLV,XLY,XLP,XLU,XLI,XLB,XLRE,XLC
XLK,1.0,0.3888888888888889,0.2222222222222222,0.27777777777777773,0.4444444444444444,0.1111111111111111,0.16666666666666666,0.5,0.3888888888888889,0.27777777777777773,0.4444444444444444
XLF,0.3888888888888889,1.0,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.1111111111111111,0.16666666666666666,0.4444444444444444,0.3888888888888889,0.3888888888888889,0.5
XLE,0.2222222222222222,0.3333333333333333,1.0,0.16666666666666666,0.16666666666666666,0.2222222222222222,0.16666666666666666,0.16666666666666666,0.3888888888888889,0.16666666666666666,0.2222222222222222
XLV,0.27777777777777773,0.3333333333333333,0.16666666666666666,1.0,0.3333333333333333,0.2222222222222222,0.16666666666666666,0.3333333333333333,0.27777777777777773,0.3333333333333333,0.3333333333333333
XLY,0.4444444444444444,0.4444444444444444,0.16666666666666666,0.3333333333333333,1.0,0.1111111111111111,0.1111111111111111,0.3888888888888889,0.27777777777777773,0.2222222222222222,0.4444444444444444
XLP,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.1111111111111111,1.0,0.27777777777777773,0.2222222222222222,0.16666666666666666,0.27777777777777773,0.1111111111111111
XLU,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.1111111111111111,0.27777777777777773,1.0,0.27777777777777773,0.1111111111111111,0.4444444444444444,0.2222222222222222
XLI,0.5,0.4444444444444444,0.16666666666666666,0.3333333333333333,0.3888888888888889,0.2222222222222222,0.27777777777777773,1.0,0.3333333333333333,0.3333333333333333,0.3888888888888889
XLB,0.3888888888888889,0.3888888888888889,0.3888888888888889,0.27777777777777773,0.27777777777777773,0.16666666666666666,0.1111111111111111,0.3333333333333333,1.0,0.27777777777777773,0.3888888888888889
XLRE,0.27777777777777773,0.3888888888888889,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.27777777777777773,0.4444444444444444,0.3333333333333333,0.27777777777777773,1.0,0.3333333333333333
XLC,0.4444444444444444,0.5,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.1111111111111111,0.2222222222222222,0.3888888888888889,0.3888888888888889,0.3333333333333333,1.0
